ECON4A,ECON4B,HHINCOME,EDUCATION,AGE7,SU_ID
3,1,7,6,5,20002359
1,1,8,6,6,20003575
1,1,6,6,4,20003719
1,1,4,4,1,20004044
1,1,9,7,5,20004220
3,3,9,5,1,20006795
2,2,5,4,2,20008551
5,5,8,5,6,20010211
5,5,7,3,5,20013239
4,4,3,3,6,20015071
3,1,7,5,2,20019542
2,3,9,5,3,20022391
4,4,9,6,5,20023429
4,3,9,5,3,20023765
5,5,6,3,6,20026994
1,1,8,5,5,20027581
3,3,9,5,2,20028150
5,5,7,6,6,20029849
1,1,8,6,4,20030106
1,1,7,6,4,20030633
1,1,5,4,2,20033080
1,1,8,6,3,20040204
3,2,1,6,3,20042108
2,3,5,2,1,20043870
1,1,7,5,1,20044698
5,2,2,4,4,20046484
1,1,7,7,3,20046647
2,2,6,5,2,20047319
1,1,5,3,5,20047734
1,1,5,6,2,20048355
5,5,2,3,5,20048914
2,2,5,5,2,20053883
4,3,6,5,6,20055119
5,5,4,5,6,20056794
3,2,1,6,2,20060318
1,1,8,6,2,20065523
5,5,7,7,6,20065767
2,2,1,2,4,20066348
1,1,8,3,1,20070330
1,1,9,7,6,20072221
1,1,3,3,5,20072393
2,2,5,4,5,20073494
5,5,1,3,5,20075569
1,1,9,7,4,20077060
1,2,9,7,5,20077344
1,1,8,7,5,20078282
5,5,7,5,6,20078308
5,5,7,6,6,20080697
4,3,7,5,5,20081494
5,5,6,5,7,20083966
1,1,9,7,3,20084101
4,4,3,4,6,20084348
5,5,8,6,6,20085713
5,5,5,2,7,20087194
1,1,7,5,5,20087320
5,5,8,5,6,20091378
1,1,4,3,2,20093058
1,1,9,7,4,20095000
3,3,7,3,3,20096047
1,1,8,3,4,20101549
3,3,3,5,5,20101594
1,1,6,4,5,20106652
1,1,4,6,2,20108463
1,1,8,7,5,20108962
5,5,6,4,2,20118797
3,3,7,5,3,20119954
5,5,7,7,6,20120958
2,2,9,5,4,20121770
2,1,1,3,3,20124663
1,1,3,3,4,20124861
5,5,4,4,5,20124960
3,3,8,7,4,20125494
1,1,7,6,1,20126934
5,5,6,2,6,20129957
5,5,4,2,5,20130184
1,1,8,3,5,20131440
4,3,2,4,5,20131613
5,5,2,3,6,20132030
5,5,8,5,7,20132995
5,5,1,3,3,20138513
5,5,6,4,6,20142095
4,3,9,3,3,20143184
1,1,9,7,6,20144098
5,5,8,3,5,20145654
4,4,3,3,7,20146062
5,5,2,3,2,20148520
1,1,2,4,6,20152723
4,5,9,6,4,20153850
5,5,5,4,6,20154092
1,1,9,6,2,20154254
5,5,7,4,6,20155161
1,3,5,5,3,20158475
5,5,7,2,7,20161929
2,2,7,6,6,20163406
5,5,7,6,6,20163800
5,5,1,1,5,20166171
5,5,6,5,5,20166993
1,1,8,3,1,20167647
1,1,8,6,4,20168583
1,1,9,5,3,20172223
1,1,6,5,3,20173105
1,1,4,2,1,20174234
5,5,6,3,6,20174983
1,1,7,6,4,20177718
4,3,7,5,5,20181783
3,5,7,2,1,20183799
1,1,9,5,3,20184314
1,1,7,7,3,20188382
1,2,6,6,2,20189138
2,2,4,2,2,20192961
5,5,6,3,6,20193221
5,5,2,3,5,20194032
1,1,9,6,3,20200957
5,5,2,2,7,20204532
5,5,1,3,2,20205550
2,1,5,3,3,20206447
1,1,4,3,5,20207263
2,3,7,2,1,20210026
5,5,7,7,7,20210406
2,3,6,5,4,20211056
2,2,7,6,5,20214855
5,5,7,5,6,20220963
5,5,2,2,6,20223400
5,5,9,5,5,20223566
1,5,5,5,2,20224688
1,1,6,4,5,20225205
2,2,8,5,5,20227428
1,2,3,3,4,20227851
5,5,2,2,6,20228217
1,1,8,6,5,20232920
5,5,7,3,6,20234124
5,5,8,5,5,20236677
1,1,4,5,1,20238398
1,1,8,5,3,20241142
1,1,7,7,6,20241775
5,5,3,5,6,20242572
5,5,3,3,6,20244419
5,5,2,2,6,20249735
3,2,3,3,3,20250703
5,5,4,1,4,20265972
1,1,8,5,2,20266786
1,1,8,5,3,20267442
1,2,8,6,3,20268232
5,5,9,5,5,20270309
4,3,2,3,1,20271495
3,1,6,5,2,20275253
4,4,1,2,1,20279154
1,1,7,6,2,20282224
2,2,7,7,2,20283393
1,1,2,5,6,20283675
1,1,8,3,6,20287564
1,1,7,4,5,20290252
1,1,1,4,1,20291985
1,2,9,6,3,20292030
5,5,4,4,2,20293840
5,5,9,5,6,20294326
2,2,2,6,4,20294553
5,5,8,5,5,20294802
1,1,6,4,4,20298972
1,1,6,5,6,20301902
4,4,4,3,1,20305710
2,2,6,6,2,20307245
1,1,8,7,4,20313751
5,5,2,5,7,20314848
5,4,1,2,3,20315205
4,3,1,2,3,20318387
4,4,9,5,4,20321873
1,1,6,3,5,20322362
5,5,2,5,7,20325701
1,1,7,2,5,20326929
5,5,2,3,4,20328688
1,1,9,4,5,20329165
5,5,6,5,6,20331054
5,5,9,6,6,20331458
1,1,9,5,5,20333062
5,5,8,3,6,20334086
5,5,2,3,5,20334884
1,1,3,5,2,20340132
4,4,7,6,6,20340250
1,1,9,5,5,20342004
1,2,8,6,4,20342056
5,3,4,7,6,20343590
1,1,6,5,4,20347276
5,5,8,6,7,20352559
2,2,4,6,2,20352921
5,5,2,1,7,20352934
5,5,6,3,2,20355635
5,4,9,5,5,20356247
5,5,6,5,7,20357241
3,3,2,2,2,20358808
2,3,4,5,5,20359526
5,5,9,5,5,20359812
4,3,3,3,1,20360575
5,5,4,5,7,20361572
4,3,4,7,7,20363678
4,2,3,2,2,20370124
1,1,2,5,2,20371061
1,1,9,7,4,20371184
5,5,6,1,7,20374004
1,1,6,7,3,20378574
5,5,5,6,7,20379088
5,5,3,2,2,20381017
5,5,7,7,5,20383433
5,5,9,5,7,20386737
2,1,8,5,3,20390261
5,5,7,6,6,20399800
5,5,6,2,6,20404803
1,1,8,5,4,20405834
4,4,7,6,4,20412181
5,5,3,2,5,20413629
5,5,2,2,6,20417101
1,1,8,5,6,20419600
5,5,6,3,7,20425096
5,5,2,2,6,20426730
2,2,7,6,4,20430416
1,1,9,7,5,20430934
5,5,3,3,1,20435570
5,5,7,5,7,20436953
5,5,6,5,6,20438504
4,3,4,3,6,20443534
1,1,7,5,4,20448814
5,5,9,7,7,20449318
4,4,3,3,3,20449860
1,1,6,4,3,20452005
3,2,6,3,5,20452014
5,5,7,5,3,20453432
4,3,9,6,4,20454434
5,5,6,5,6,20454436
1,1,4,3,6,20458307
5,3,7,3,1,20459465
5,5,6,4,6,20460388
1,1,8,6,6,20462462
3,3,4,5,1,20464141
3,3,2,6,6,20465780
2,3,3,4,5,20468758
1,1,7,6,4,20474540
5,5,2,4,5,20474715
1,1,4,3,3,20476696
1,1,8,5,2,20477409
2,2,7,3,6,20478730
5,5,6,6,7,20479016
1,1,8,6,3,20481346
1,1,8,6,3,20481581
5,5,1,7,4,20484418
5,5,8,5,6,20484451
5,5,3,3,5,20484856
1,1,9,7,3,20487124
5,5,1,2,4,20488686
1,1,9,5,6,20489976
1,1,6,6,3,20491864
4,4,6,6,5,20492578
2,2,5,3,4,20495244
2,2,7,7,3,20498019
2,2,7,5,5,20498927
1,1,9,5,2,20499418
1,1,3,4,2,20504901
5,5,9,5,6,20505139
2,2,4,5,3,20505529
5,1,4,4,6,20507086
1,4,2,3,7,20507271
1,1,1,1,2,20507314
1,1,7,6,5,20509809
2,2,7,5,3,20513987
1,1,6,5,2,20518191
2,2,5,6,2,20518271
5,5,8,7,6,20518794
2,2,7,5,4,20522310
5,5,8,6,6,20525257
5,5,8,5,6,20527034
5,5,1,1,2,20531711
5,5,7,6,7,20531751
1,1,9,7,4,20532002
2,2,6,2,4,20533502
3,3,6,3,6,20534877
5,5,7,7,5,20539836
4,3,4,3,3,20540224
4,4,2,2,5,20540229
4,4,4,1,3,20541064
5,5,6,6,6,20541499
5,5,3,4,7,20541704
1,1,8,6,3,20548691
5,5,6,3,6,20549289
1,1,6,2,2,20550095
2,2,6,5,2,20551455
2,2,9,6,4,20553004
1,1,6,7,2,20554295
1,1,6,7,4,20554436
1,1,8,6,3,20556864
3,3,2,4,2,20563952
5,5,8,5,6,20564075
1,1,3,6,3,20565928
5,5,2,1,4,20567297
1,1,5,4,5,20567394
1,1,7,5,4,20571238
5,5,4,4,5,20574025
1,1,2,2,5,20575805
2,2,6,3,2,20577011
1,1,6,4,5,20578026
2,2,8,5,1,20579675
3,1,2,3,2,20579998
5,3,3,3,2,20580312
1,1,9,7,2,20582456
1,1,7,5,5,20586122
1,2,6,6,5,20586948
1,1,7,3,4,20587336
5,5,7,5,6,20589976
5,5,5,5,7,20590862
1,1,7,5,3,20594180
1,1,7,4,4,20594946
5,5,9,7,6,20597219
5,4,3,3,5,20597645
1,2,6,4,3,20598331
2,2,9,6,3,20598667
4,3,2,1,3,20600365
5,5,2,3,6,20600522
5,5,7,7,6,20601177
1,1,2,2,5,20601448
3,2,8,7,2,20602909
3,3,3,4,2,20605656
2,2,1,1,4,20608451
1,1,8,4,3,20608455
2,3,3,6,2,20612228
5,5,4,3,5,20612809
1,1,8,5,2,20615616
5,5,6,4,7,20615999
1,1,6,5,5,20620063
3,3,5,5,6,20621913
3,3,8,3,4,20622403
5,5,7,5,6,20627664
5,5,8,5,6,20629789
2,2,2,7,4,20631223
5,5,4,5,6,20632079
1,1,7,7,4,20633945
1,1,6,5,1,20634334
1,1,3,4,5,20634976
1,1,6,5,2,20635095
1,1,6,3,2,20640288
1,1,9,6,2,20641193
5,5,8,5,5,20642512
1,1,8,5,3,20643288
2,2,3,5,3,20643399
5,5,9,6,6,20645052
1,1,7,3,5,20653740
4,3,5,3,4,20653981
1,1,8,6,2,20656853
5,5,2,2,6,20657863
4,4,4,3,3,20658235
1,1,4,5,2,20658391
5,5,7,2,1,20660691
5,5,3,3,6,20662185
5,5,9,5,3,20663438
1,1,6,4,4,20665693
5,5,3,2,6,20666383
4,2,1,3,1,20667712
3,1,3,3,1,20667934
2,2,7,6,4,20669020
3,3,2,3,3,20672782
5,5,6,7,7,20673964
3,1,2,5,4,20676062
1,1,8,6,1,20676163
1,1,7,6,6,20676192
4,3,3,2,3,20676521
2,2,8,3,5,20676541
2,2,8,3,4,20676725
5,3,7,5,5,20678535
3,3,1,2,2,20679454
2,2,7,6,2,20680187
2,2,9,5,5,20683027
4,4,9,7,7,20683918
3,1,4,2,2,20686479
5,5,2,2,6,20687588
1,1,5,6,3,20688295
1,1,1,5,5,20689692
5,5,5,2,7,20690696
1,1,4,3,3,20691600
5,5,9,7,5,20691957
4,4,9,3,1,20692190
1,1,6,2,6,20693443
1,2,6,7,2,20695896
4,3,3,2,4,20698905
5,4,6,5,4,20700643
1,1,6,4,3,20701935
1,1,6,5,1,20702215
2,2,6,7,3,20703704
2,3,2,6,2,20703835
3,3,8,6,6,20703903
5,5,7,7,7,20704389
1,1,3,3,2,20706574
1,3,4,4,6,20707452
1,1,6,5,5,20710527
3,2,1,1,1,20712629
3,3,4,3,5,20713254
5,5,1,5,6,20714314
3,3,1,1,3,20714785
5,5,2,1,5,20718603
5,5,4,4,6,20724163
1,3,6,5,2,20725594
3,2,9,3,1,20725807
1,1,8,7,3,20726891
1,1,4,4,5,20728719
1,1,3,6,5,20731381
5,5,5,4,7,20732255
4,4,7,2,1,20733091
1,1,3,3,5,20733621
5,4,8,6,6,20735824
5,5,9,5,7,20738101
1,1,7,5,4,20739931
1,1,2,5,2,20740372
5,5,7,5,6,20744752
1,1,7,5,3,20745716
1,1,7,5,3,20749442
2,2,2,4,5,20752096
1,1,9,5,3,20752792
2,2,8,6,3,20753333
2,1,6,5,3,20754354
5,5,3,6,6,20756052
5,5,9,7,6,20757888
1,1,7,4,4,20763426
1,1,4,3,3,20763798
5,5,8,6,7,20765705
5,5,8,7,7,20767413
1,1,7,6,2,20769740
1,1,9,3,1,20774949
2,1,5,4,5,20775298
1,1,9,7,5,20778033
2,3,6,5,2,20781534
1,1,7,5,4,20784971
1,1,9,5,3,20788123
5,4,7,6,6,20792807
1,1,9,6,3,20794297
2,1,6,2,1,20795869
3,4,3,1,7,20797573
1,1,6,3,2,20799362
2,2,9,5,7,20799939
4,4,2,3,5,20801151
1,1,7,6,2,20804058
1,2,8,5,2,20806106
2,2,3,3,3,20813384
1,1,7,6,5,20814639
3,3,5,1,6,20815248
5,5,3,5,6,20817447
3,2,5,1,2,20818287
2,3,3,7,6,20819511
1,1,9,6,4,20821631
5,5,6,5,7,20822109
2,2,8,6,3,20827000
1,1,7,6,4,20832509
1,1,6,5,6,20832738
3,2,4,3,5,20840775
3,3,7,5,3,20841750
5,5,8,3,7,20842438
5,5,1,2,5,20843359
5,5,3,3,6,20843849
3,1,4,4,3,20849308
5,4,6,5,2,20852440
1,1,6,5,2,20852588
2,3,4,3,6,20852943
3,2,2,5,5,20853148
3,3,8,5,3,20858175
2,1,1,2,4,20860787
1,1,6,6,2,20861297
1,2,4,5,5,20862164
5,5,4,6,6,20865396
2,4,8,5,5,20867686
1,1,7,4,5,20867931
5,4,7,6,3,20869782
5,5,6,6,6,20878459
3,5,9,4,6,20878647
5,5,6,5,7,20884376
5,5,8,6,6,20884675
1,1,9,5,2,20885331
2,1,6,5,5,20887883
1,1,7,2,4,20889276
2,2,2,6,6,20890384
4,3,7,5,2,20895258
5,5,4,4,5,20899278
5,5,6,5,5,20899929
1,1,8,5,2,20901390
3,2,9,5,3,20903044
1,1,9,6,5,20904735
2,2,6,3,5,20905095
2,2,7,5,6,20905110
1,1,6,5,3,20906825
4,1,3,4,3,20911108
5,5,6,6,6,20912579
5,5,8,5,6,20914039
3,3,3,5,5,20919465
2,2,7,2,2,20923574
1,1,6,5,2,20924090
2,2,2,5,4,20925319
1,1,6,6,6,20925632
5,5,6,5,6,20929000
3,2,3,5,1,20936330
2,2,8,5,4,20936618
5,5,2,5,7,20938000
3,3,7,5,5,20938596
1,1,7,6,3,20939363
1,1,1,2,1,20942024
5,4,7,7,5,20943645
1,1,8,5,1,20946005
1,1,9,7,3,20949130
1,1,7,5,3,20950041
3,1,2,4,6,20950363
5,5,9,4,5,20952533
5,5,6,2,6,20952538
1,1,9,7,5,20953135
3,2,7,2,3,20955132
5,5,8,6,6,20956225
5,5,3,2,6,20956277
5,5,6,5,6,20957815
5,5,8,3,5,20960990
5,5,4,3,6,20962455
1,1,6,5,6,20967178
5,5,6,3,7,20968987
2,2,4,3,5,20973422
2,2,6,5,2,20974043
2,2,8,3,1,20978020
2,1,5,3,2,20978149
1,1,8,3,6,20981047
3,3,8,6,3,20981973
5,5,6,5,7,20983527
2,2,7,5,3,20983779
1,1,9,6,5,20985450
2,2,6,6,2,20985699
2,2,4,2,2,20989294
5,3,9,6,5,20994578
1,1,7,6,4,20995258
5,5,4,5,7,20995559
5,3,7,5,2,20995634
1,2,6,3,5,20997436
2,1,7,5,4,20997796
1,1,9,6,2,20999509
5,5,9,7,7,21001521
3,4,8,6,3,21004971
5,5,9,6,7,21007841
5,5,4,2,6,21010047
1,1,7,2,1,21011886
1,1,8,7,4,21014479
5,5,3,4,7,21014980
5,5,8,7,7,21018325
1,1,2,4,2,21021669
5,5,7,5,7,21023575
5,5,6,5,7,21024763
5,5,8,5,6,21027624
5,5,7,6,6,21030730
1,1,3,5,2,21031630
1,1,8,5,5,21033164
5,5,6,6,6,21036639
1,2,9,6,3,21037715
5,4,3,2,6,21039763
2,1,8,5,1,21040757
2,2,4,4,6,21041369
1,1,8,4,5,21043572
1,1,4,3,2,21045124
3,3,7,5,2,21049425
3,3,5,4,6,21057161
4,3,3,4,6,21060444
5,5,7,6,6,21062702
4,4,5,5,6,21063315
1,1,9,6,4,21064499
5,5,6,4,5,21070892
5,1,5,3,7,21071095
3,3,3,5,3,21072224
5,5,9,7,6,21073843
5,5,5,2,5,21075556
2,5,2,3,1,21076070
4,2,8,5,4,21076489
2,2,9,6,2,21079881
5,5,8,7,7,21081020
5,5,6,6,6,21082329
5,5,8,3,5,21083708
3,2,8,5,4,21083960
5,5,6,6,6,21084039
5,5,4,3,4,21085415
3,2,9,4,4,21085792
3,3,5,5,4,21088911
2,2,6,5,5,21092258
1,1,4,6,1,21092840
4,3,5,3,5,21093503
1,1,1,2,5,21096323
2,2,2,5,4,21098110
1,1,7,6,3,21098227
5,5,6,3,6,21099490
5,5,8,6,6,21101153
4,2,1,6,2,21102595
1,1,6,5,3,21111392
4,4,6,3,6,21111402
1,1,9,6,4,21114602
5,5,5,5,6,21116526
1,1,8,6,6,21120099
1,1,8,5,6,21121423
1,1,9,6,5,21126692
4,3,3,5,6,21127297
1,1,9,6,4,21127503
1,1,7,5,1,21129624
