AGE7,SU_ID,ECON6A_2,ECON6C_2,ECON5A_B2,GENDER2,RACETH2,P_DENSE2,question
5,20002359,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
6,20003575,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,20003719,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Rural,ECON7_3
1,20004044,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3, ECON7_7"
1,20006795,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_3, ECON7_5"
6,20010211,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
6,20015071,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
3,20022391,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
3,20023765,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,20026994,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
5,20027581,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,20028150,Tried to apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,20029849,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
4,20030106,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
4,20030633,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_2
2,20033080,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_5, ECON7_7"
3,20040204,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,"ECON7_2, ECON7_3, ECON7_5, ECON7_7"
3,20042108,Applied,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_5"
1,20043870,Did not apply,Did not apply,Often true,Female,Hispanic,Urban,"ECON7_2, ECON7_3, ECON7_7"
1,20044698,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,20046484,Applied,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3, ECON7_5"
3,20046647,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
